encoder,learner,metric,delta_eta,mean_rep,ci_low_rep,ci_high_rep,mcse_rep,mean_short,ci_low_short,ci_high_short,mcse_short,mean_theoretical_gap,mean_abs_identity_error,scenario_group,n_scenarios,n_rows,M,target_mechanism,mean_roc_auc
hash_shared,,brier,,0.044886518604935186,0.04219201093658914,0.04758102627328123,0.0013747488103806357,,,,,0.04488651860493505,1.438143585700639e-16,1C_exact,3,450,50.0,position_specific,
hash_shared,,brier,,0.0,0.0,0.0,0.0,,,,,6.155916762100479e-34,6.155916762100479e-34,1C_exact,3,450,200.0,hamming_weight,
hash_shared,,brier,,0.04549286186520637,0.04276651307572373,0.048219210654689,0.0013909942803482821,,,,,0.045492861865206416,7.764622278472188e-17,1C_exact,3,450,200.0,position_specific,
hash_shared,,brier,,0.0,-2.096223135172487e-18,2.096223135172487e-18,1.0695015995777996e-18,,,,,7.5056919869618145e-34,1.850371707708594e-17,1C_exact,3,450,1000.0,hamming_weight,
hash_shared,,brier,,0.04565390742851934,0.042918796895298726,0.04838901796173995,0.0013954645577656177,,,,,0.045653907428519526,3.536233805778721e-16,1C_exact,3,450,1000.0,position_specific,
hash_shared,,logloss,,0.0,0.0,0.0,0.0,,,,,7.832775155680356e-19,7.832775155680356e-19,1C_exact,3,450,10.0,hamming_weight,
hash_shared,,logloss,,0.0927244525643121,0.08687725119987891,0.09857165392874528,0.002983266002261831,,,,,0.09272445256431183,2.7441012425318453e-16,1C_exact,3,450,10.0,position_specific,
hash_shared,,logloss,,3.5060484676489414e-33,-8.384892540689944e-18,8.38489254068995e-18,4.278006398311198e-18,,,,,4.361500425119257e-18,7.25517860384007e-17,1C_exact,3,450,50.0,hamming_weight,
hash_shared,,logloss,,0.09954206044710211,0.09339304859900456,0.10569107229519965,0.003137250942906914,,,,,0.09954206044710175,4.3390060063449217e-16,1C_exact,3,450,50.0,position_specific,
hash_shared,,logloss,,0.0,0.0,0.0,0.0,,,,,4.0800869347528173e-19,1.2585986805377655e-18,1C_exact,3,450,200.0,hamming_weight,
hash_shared,,logloss,,0.10076350775146961,0.09455024265441167,0.10697677284852755,0.003170033212784664,,,,,0.10076350775146978,2.568894171458188e-16,1C_exact,3,450,200.0,position_specific,
hash_shared,,logloss,,0.0,0.0,0.0,0.0,,,,,1.2843313683915459e-18,3.57438866080648e-18,1C_exact,3,450,1000.0,hamming_weight,
hash_shared,,logloss,,0.1010865167120817,0.09485576171701723,0.10731727170714617,0.0031789566301349296,,,,,0.1010865167120822,1.026840649546538e-15,1C_exact,3,450,1000.0,position_specific,
count,lightgbm,brier,,,,,,0.014197414531878299,0.01268548981923727,0.015709339244519328,0.0007713901595107292,,,1C_finite,6,300,10.0,hamming_weight,
count,lightgbm,brier,,,,,,0.01187479929749272,0.01063783256919317,0.01311176602579227,0.000631105473622219,,,1C_finite,6,300,10.0,position_specific,
count,lightgbm,brier,,,,,,0.029235715381533314,0.02712545691232273,0.0313459738507439,0.0010766624842911145,,,1C_finite,6,300,50.0,hamming_weight,
count,lightgbm,brier,,,,,,0.024485659437251773,0.02236537642338223,0.026605942451121314,0.001081777047892624,,,1C_finite,6,300,50.0,position_specific,
count,lightgbm,brier,,,,,,0.04789020512867772,0.044932684390488815,0.050847725866866623,0.0015089391521371964,,,1C_finite,6,300,200.0,hamming_weight,
count,lightgbm,brier,,,,,,0.032882188387764445,0.03032184846232155,0.035442528313207336,0.001306295880328007,,,1C_finite,6,300,200.0,position_specific,
count,lightgbm,brier,,,,,,0.07470894805518781,0.07135948365713683,0.07805841245323879,0.0017089104071688658,,,1C_finite,6,300,1000.0,hamming_weight,
count,lightgbm,brier,,,,,,0.03613332184666348,0.033454948432728546,0.03881169526059841,0.001366517047925987,,,1C_finite,6,300,1000.0,position_specific,
count,lightgbm,logloss,,,,,,0.039241785785764226,0.03465159447469916,0.04383197709682929,0.002341934342380133,,,1C_finite,6,300,10.0,hamming_weight,0.7432761088673506
count,lightgbm,logloss,,,,,,0.03446126534415628,0.03051228410334743,0.03841024658496513,0.002014786347351454,,,1C_finite,6,300,10.0,position_specific,0.6890109409275338
count,lightgbm,logloss,,,,,,0.07937305657626184,0.07290782829790798,0.0858382848546157,0.0032985858563029853,,,1C_finite,6,300,50.0,hamming_weight,0.7220971459138807
count,lightgbm,logloss,,,,,,0.07291189242318659,0.06570770358157944,0.08011608126479373,0.003675606551840382,,,1C_finite,6,300,50.0,position_specific,0.6751458150107105
count,lightgbm,logloss,,,,,,0.12435853793190683,0.11601622588055689,0.13270084998325676,0.00425628165885201,,,1C_finite,6,300,200.0,hamming_weight,0.6755479270828718
count,lightgbm,logloss,,,,,,0.09971241725595716,0.09147647841477319,0.10794835609714112,0.004202009612848962,,,1C_finite,6,300,200.0,position_specific,0.6692086892388429
count,lightgbm,logloss,,,,,,0.1880382086578434,0.17792387980022,0.1981525375154668,0.0051603718661343825,,,1C_finite,6,300,1000.0,hamming_weight,0.5956304748506648
count,lightgbm,logloss,,,,,,0.10828296843086845,0.09991980562964899,0.1166461312320879,0.004266919796540541,,,1C_finite,6,300,1000.0,position_specific,0.6671440216873027
count,logistic,brier,,,,,,0.0031852860739865966,0.0027672164506727047,0.0036033556973004885,0.0002133008282213734,,,1C_finite,6,300,10.0,hamming_weight,
count,logistic,brier,,,,,,0.005829568996096946,0.005216759070765159,0.006442378921428732,0.00031265812516927913,,,1C_finite,6,300,10.0,position_specific,
