arm,component,scenario_id,replicate,seed,d_active,M,K,marginal,tau,interaction_count,delta_eta,n_train,encoder,bucket_width,width_label,reference_log_gap,reference_brier_gap,production_log_gap,production_brier_gap,log_identity_error,brier_identity_error,prod_ref_log_abs_diff,prod_ref_brier_abs_diff,production_self_identity_error_log,production_self_identity_error_brier,fiber_count,stored_fiber_count,fiber_count_match,stored_representation_loss_log_mc,stored_representation_loss_brier_mc,stored_mcse_log,stored_mcse_brier,stored_abs_diff_log_mc,stored_abs_diff_brier_mc,stored_mc_tolerance_log,stored_mc_tolerance_brier,stored_mc_within_tolerance,recomputed_fiber_fingerprint,stored_fiber_fingerprint,fiber_fingerprint_match,tolerance,within_tolerance,injected_defect,status,notes
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,woe,,,-2.220446049250313e-16,0.0,1.1102230246251565e-16,0.0,2.220446049250313e-16,0.0,3.3306690738754696e-16,0.0,1.1102230246251565e-16,0.0,48,48,1,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1e-09,1e-09,1,12e755476bae0316aebed678835866b0,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,ordered_catboost_sim,,,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,64,64,1,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,homals,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,label,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,onehot,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,count,,,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,64,64,1,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,hash_column,10,B0,0.0075416801509109455,0.0036771163550391173,0.007541680150912278,0.003677116355040533,1.3322676295501878e-15,1.3916819086023935e-15,1.3322676295501878e-15,1.4155343563970746e-15,1.9949319973733282e-17,1.9949319973733282e-17,240,240,1,0.007581940077611,0.0036951726118196,4.518607881082847e-05,2.205022555983414e-05,4.0259926698722054e-05,1.8056256779066995e-05,0.00027111747286497084,0.00013230235335900484,1,5b594384085afae80cb1cab187c36bd5,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,hash_column,20,B1,0.0015261735064263648,0.0007433490858108072,0.0015261735064279192,0.0007433490858124725,1.582067810090848e-15,1.6406147274050653e-15,1.5543122344752192e-15,1.6653345369377348e-15,2.168404344971009e-17,2.656295322589486e-17,363,363,1,0.0015227472323479,0.0007413044889757,9.782837316969756e-06,4.810682782201671e-06,3.4262740800192638e-06,2.0445968367724778e-06,5.869802390181854e-05,2.8865096693210024e-05,1,3d2825b7d92099ed8ceb9ba050d5d390,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,hash_column,40,B2,6.905605028673101e-05,3.355962798570755e-05,6.905605028728612e-05,3.355962798723411e-05,5.568733408428672e-16,1.4961989980299961e-15,5.551115123125783e-16,1.5265566588595902e-15,1.9786689647860456e-18,3.048640983757678e-17,768,768,1,6.876100129682428e-05,3.3415859167967854e-05,3.2580456034451137e-07,1.6068688678596685e-07,2.9504899046184363e-07,1.437688192662545e-07,1.9558273620670684e-06,9.651213207158012e-07,1,3cf89093468c271e1bf273e2d0b3e30c,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,hash_shared,10,B0,0.021556988178897174,0.010582644044503875,0.021556988178898617,0.010582644044505457,1.4918621893400541e-15,1.5838025335668249e-15,1.4432899320127035e-15,1.582067810090848e-15,2.42861286636753e-17,2.42861286636753e-17,56,56,1,0.0217181450991099,0.0106606466472589,0.0001119749848265,5.4655560161901975e-05,0.00016115692021128128,7.800260275344327e-05,0.000671850908959,0.0003279343609714119,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
