panel,scenario_id,K,sigma,rho,regime,metric,value,theoretical_value,mcse
A/B,S2-157,216.0,0.01,0.0,all_equal,reporting_bias_mean,5.123590132453637e-05,,9.917106378311788e-05
A/B,S2-157,216.0,0.01,0.0,all_equal,winner_instability,0.9936,,0.9936
A/B,S2-157,216.0,0.01,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-157,216.0,0.01,0.0,all_equal,oracle_bound_ratio,0.8458345521534674,,0.8458345521534674
A/B,S2-161,216.0,0.01,0.5,all_equal,oracle_optimism_mean,0.0195298252443084,0.0327880417459907,7.762181600515855e-05
A/B,S2-161,216.0,0.01,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-161,216.0,0.01,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-161,216.0,0.01,0.5,all_equal,reporting_bias_mean,-7.883231940811986e-05,,0.0001008985466982
A/B,S2-161,216.0,0.01,0.5,all_equal,winner_instability,0.9936,,0.9936
A/B,S2-161,216.0,0.01,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-161,216.0,0.01,0.5,all_equal,oracle_bound_ratio,0.5956386598384293,,0.5956386598384293
A/B,S2-165,216.0,0.01,0.9,all_equal,oracle_optimism_mean,0.0086803644054344,0.0327880417459907,9.583456753006812e-05
A/B,S2-165,216.0,0.01,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-165,216.0,0.01,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-165,216.0,0.01,0.9,all_equal,reporting_bias_mean,-5.062295137079944e-05,,0.0001003957898136
A/B,S2-165,216.0,0.01,0.9,all_equal,winner_instability,0.9938,,0.9938
A/B,S2-165,216.0,0.01,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-165,216.0,0.01,0.9,all_equal,oracle_bound_ratio,0.2647417760621785,,0.2647417760621785
A/B,S2-169,216.0,0.03,0.0,all_equal,oracle_optimism_mean,0.0832921240686847,0.0983641252379722,0.0001204458144832
A/B,S2-169,216.0,0.03,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-169,216.0,0.03,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-169,216.0,0.03,0.0,all_equal,reporting_bias_mean,-5.121795567480495e-05,,0.0003004934695826
A/B,S2-169,216.0,0.03,0.0,all_equal,winner_instability,0.9931,,0.9931
A/B,S2-169,216.0,0.03,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-169,216.0,0.03,0.0,all_equal,oracle_bound_ratio,0.8467733929130778,,0.8467733929130778
A/B,S2-173,216.0,0.03,0.5,all_equal,oracle_optimism_mean,0.0586041327311417,0.0983641252379722,0.0002299045066113
A/B,S2-173,216.0,0.03,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-173,216.0,0.03,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-173,216.0,0.03,0.5,all_equal,reporting_bias_mean,-0.0005994424141551,,0.0002984961808692
A/B,S2-173,216.0,0.03,0.5,all_equal,winner_instability,0.9933,,0.9933
A/B,S2-173,216.0,0.03,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-173,216.0,0.03,0.5,all_equal,oracle_bound_ratio,0.5957876673976497,,0.5957876673976497
A/B,S2-177,216.0,0.03,0.9,all_equal,oracle_optimism_mean,0.0259305793636569,0.0983641252379722,0.0002857136913321
A/B,S2-177,216.0,0.03,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-177,216.0,0.03,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-177,216.0,0.03,0.9,all_equal,reporting_bias_mean,-0.0002115380779066,,0.0002975930511126
A/B,S2-177,216.0,0.03,0.9,all_equal,winner_instability,0.9935,,0.9935
A/B,S2-177,216.0,0.03,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-177,216.0,0.03,0.9,all_equal,oracle_bound_ratio,0.2636182581904036,,0.2636182581904036
C,S2-asym-sig0.005,,0.005,,,oracle_advantage_large_minus_small,0.0048631308478983,,
C,S2-asym-sig0.01,,0.01,,,oracle_advantage_large_minus_small,0.0097262616957967,,
C,S2-asym-sig0.03,,0.03,,,oracle_advantage_large_minus_small,0.0291787850873901,,
