panel,scenario_id,K,sigma,rho,regime,metric,value,theoretical_value,mcse
A/B,S2-029,3.0,0.03,0.5,all_equal,oracle_bound_ratio,0.4078807316110474,,0.4078807316110474
A/B,S2-033,3.0,0.03,0.9,all_equal,oracle_optimism_mean,0.0080582744414824,0.0444691142210253,0.0002937168943744
A/B,S2-033,3.0,0.03,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-033,3.0,0.03,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-033,3.0,0.03,0.9,all_equal,reporting_bias_mean,9.577321092924284e-05,,0.0003011493009257
A/B,S2-033,3.0,0.03,0.9,all_equal,winner_instability,0.6634,,0.6634
A/B,S2-033,3.0,0.03,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-033,3.0,0.03,0.9,all_equal,oracle_bound_ratio,0.1812105903758346,,0.1812105903758346
A/B,S2-037,8.0,0.005,0.0,all_equal,oracle_optimism_mean,0.0070865165845036,0.010196669901688,3.0475401142525124e-05
A/B,S2-037,8.0,0.005,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-037,8.0,0.005,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-037,8.0,0.005,0.0,all_equal,reporting_bias_mean,-6.412919769946676e-06,,5.023044585321312e-05
A/B,S2-037,8.0,0.005,0.0,all_equal,winner_instability,0.8702,,0.8702
A/B,S2-037,8.0,0.005,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-037,8.0,0.005,0.0,all_equal,oracle_bound_ratio,0.6949834262390351,,0.6949834262390351
A/B,S2-041,8.0,0.005,0.5,all_equal,oracle_optimism_mean,0.0050157108737178,0.010196669901688,4.2013247858051546e-05
A/B,S2-041,8.0,0.005,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-041,8.0,0.005,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-041,8.0,0.005,0.5,all_equal,reporting_bias_mean,-3.2959112902921334e-05,,5.0455895000357514e-05
A/B,S2-041,8.0,0.005,0.5,all_equal,winner_instability,0.8706,,0.8706
A/B,S2-041,8.0,0.005,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-041,8.0,0.005,0.5,all_equal,oracle_bound_ratio,0.4918969547977146,,0.4918969547977146
A/B,S2-045,8.0,0.005,0.9,all_equal,oracle_optimism_mean,0.0022868491393399,0.010196669901688,4.850327618995979e-05
A/B,S2-045,8.0,0.005,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-045,8.0,0.005,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-045,8.0,0.005,0.9,all_equal,reporting_bias_mean,4.1828835575494585e-05,,5.0202653516144335e-05
A/B,S2-045,8.0,0.005,0.9,all_equal,winner_instability,0.8723,,0.8723
A/B,S2-045,8.0,0.005,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-045,8.0,0.005,0.9,all_equal,oracle_bound_ratio,0.2242741170782967,,0.2242741170782967
A/B,S2-049,8.0,0.01,0.0,all_equal,oracle_optimism_mean,0.0142752705876339,0.0203933398033761,6.110070911030217e-05
A/B,S2-049,8.0,0.01,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-049,8.0,0.01,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-049,8.0,0.01,0.0,all_equal,reporting_bias_mean,7.509163261751376e-05,,0.0001001270172893
