simulation,scenario_id,replicate,parameter_json,selection_rule_or_encoder,metric,value,theoretical_value,mcse,tolerance,criterion_id,criterion_pass,status,seed,notes
sim2,S2-003,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.005""}",panel,one_se_regret_mean,0.000675,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1003,
sim2,S2-003,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.005""}",panel,oracle_bound_ratio,0.21867782585302029,,0.21867782585302029,0.6560334775590608,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1003,
sim2,S2-004,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.02""}",panel,oracle_optimism_mean,6.807188449292615e-05,0.0074115190368375565,5.0492972312234806e-05,0.0001514789169367044,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1004,
sim2,S2-004,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.02""}",panel,regret_mean,0.000102,,1.424710138904749e-05,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1004,
sim2,S2-004,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.02""}",panel,p_select_best,0.9949,,0.9949,2.9847,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1004,
sim2,S2-004,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.02""}",panel,reporting_bias_mean,5.920488827480639e-05,,5.0772115769184117e-05,0.00015231634730755234,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1004,
sim2,S2-004,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.02""}",panel,winner_instability,0.005099999999999993,,0.005099999999999993,0.01529999999999998,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1004,
sim2,S2-004,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.02""}",panel,one_se_regret_mean,2e-06,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1004,
sim2,S2-004,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.02""}",panel,oracle_bound_ratio,0.009184606307369338,,0.009184606307369338,0.027553818922108016,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1004,
sim2,S2-005,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""all_equal""}",panel,oracle_optimism_mean,0.003011413843953124,0.0074115190368375565,4.3680965510364525e-05,0.00013104289653109358,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1005,
sim2,S2-005,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""all_equal""}",panel,regret_mean,0.0,,0.0,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1005,
sim2,S2-005,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""all_equal""}",panel,p_select_best,1.0,,1.0,3.0,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1005,
sim2,S2-005,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""all_equal""}",panel,reporting_bias_mean,-3.312538480286409e-06,,4.980020748413384e-05,0.00014940062245240152,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1005,
sim2,S2-005,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""all_equal""}",panel,winner_instability,0.6616,,0.6616,1.9848,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1005,
sim2,S2-005,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""all_equal""}",panel,one_se_regret_mean,0.0,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1005,
sim2,S2-005,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""all_equal""}",panel,oracle_bound_ratio,0.4063153354913426,,0.4063153354913426,1.2189460064740278,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1005,
