M,K,n_train,encoder,learner,encoded_width,eta_table_s,encode_s,fit_s,eval_s,cell_s,peak_rss_mb,learner_shortfall_sanity,status
20,12,500,ordered_catboost_sim,logistic,20,0.003508,0.0616,0.0012,0.114,0.1357,335.2,0.103761,SUCCESS
20,12,500,ordered_catboost_sim,lightgbm,20,0.003508,0.0616,0.0807,1.0162,1.1175,335.2,0.346099,SUCCESS
20,12,500,ordered_catboost_sim,mlp,20,0.003508,0.0616,0.0461,0.1181,0.1848,335.2,0.129796,SUCCESS
20,12,500,homals,logistic,40,0.003508,0.2446,0.0014,0.2672,0.3502,335.2,0.151621,SUCCESS
20,12,500,homals,lightgbm,40,0.003508,0.2446,0.0508,1.1965,1.3288,335.2,0.240866,SUCCESS
20,12,500,homals,mlp,40,0.003508,0.2446,0.0299,0.2695,0.381,335.2,0.160632,SUCCESS
20,12,5000,label,logistic,20,0.003508,0.0269,0.002,0.2111,0.222,335.2,0.120742,SUCCESS
20,12,5000,label,lightgbm,20,0.003508,0.0269,0.1137,0.8756,0.9983,335.2,0.065626,SUCCESS
20,12,5000,label,mlp,20,0.003508,0.0269,0.3255,0.2214,0.5559,335.2,0.142294,SUCCESS
20,12,5000,onehot,logistic,260,0.003508,0.0251,0.0094,0.193,0.2108,335.2,0.081799,SUCCESS
20,12,5000,onehot,lightgbm,260,0.003508,0.0251,0.1457,1.2611,1.4151,335.2,0.062369,SUCCESS
20,12,5000,onehot,mlp,260,0.003508,0.0251,0.2391,0.1973,0.4447,335.2,0.146705,SUCCESS
20,12,5000,count,logistic,20,0.003508,0.02,0.0023,0.1059,0.1148,335.2,0.102425,SUCCESS
20,12,5000,count,lightgbm,20,0.003508,0.02,0.1126,0.821,0.9402,335.2,0.065146,SUCCESS
20,12,5000,count,mlp,20,0.003508,0.02,0.2338,0.1128,0.3533,335.2,0.11023,SUCCESS
20,12,5000,hash_column,logistic,240,0.003508,0.0216,0.0079,0.2503,0.2654,335.2,0.086585,SUCCESS
20,12,5000,hash_column,lightgbm,240,0.003508,0.0216,0.1444,1.162,1.3136,335.2,0.076107,SUCCESS
20,12,5000,hash_column,mlp,240,0.003508,0.0216,0.2443,0.2657,0.5172,335.2,0.129006,SUCCESS
20,12,5000,hash_shared,logistic,240,0.003508,0.022,0.006,0.2498,0.2632,335.2,0.139218,SUCCESS
20,12,5000,hash_shared,lightgbm,240,0.003508,0.022,0.1125,1.0154,1.1352,335.2,0.177387,SUCCESS
20,12,5000,hash_shared,mlp,240,0.003508,0.022,0.1723,0.2652,0.4448,335.2,0.140868,SUCCESS
20,12,5000,target,logistic,20,0.003508,0.0872,0.0024,0.1127,0.1442,335.2,0.062931,SUCCESS
20,12,5000,target,lightgbm,20,0.003508,0.0872,0.1494,0.9079,1.0863,335.2,0.077605,SUCCESS
20,12,5000,target,mlp,20,0.003508,0.0872,0.19,0.1175,0.3365,335.2,0.071514,SUCCESS
20,12,5000,woe,logistic,20,0.003508,0.1176,0.0021,0.1062,0.1475,335.2,0.06268,SUCCESS
20,12,5000,woe,lightgbm,20,0.003508,0.1176,0.1575,0.8962,1.0929,335.2,0.077323,SUCCESS
20,12,5000,woe,mlp,20,0.003508,0.1176,0.1956,0.1107,0.3455,335.2,0.07123,SUCCESS
20,12,5000,ordered_catboost_sim,logistic,20,0.003508,0.4342,0.0025,0.1112,0.2585,335.2,0.061126,SUCCESS
20,12,5000,ordered_catboost_sim,lightgbm,20,0.003508,0.4342,0.2763,0.9178,1.3388,335.2,0.083753,SUCCESS
20,12,5000,ordered_catboost_sim,mlp,20,0.003508,0.4342,0.1625,0.1217,0.4289,335.2,0.066741,SUCCESS
20,12,5000,homals,logistic,40,0.003508,1.5809,0.0036,0.2607,0.7913,335.2,0.13607,SUCCESS
20,12,5000,homals,lightgbm,40,0.003508,1.5809,0.1723,1.0157,1.7151,335.2,0.066073,SUCCESS
20,12,5000,homals,mlp,40,0.003508,1.5809,0.2793,0.2726,1.0789,335.2,0.180927,SUCCESS
20,50,500,label,logistic,20,0.329787,0.0049,0.0012,0.2093,0.2121,335.2,0.169059,SUCCESS
20,50,500,label,lightgbm,20,0.329787,0.0049,0.0434,1.0047,1.0497,335.2,0.292681,SUCCESS
20,50,500,label,mlp,20,0.329787,0.0049,0.0263,0.2987,0.3266,385.3,0.168619,SUCCESS
20,50,500,onehot,logistic,948,0.329787,0.0048,0.005,0.3442,0.3508,528.7,1.146141,SUCCESS
20,50,500,onehot,lightgbm,948,0.329787,0.0048,0.0342,1.3993,1.4351,529.8,0.230345,SUCCESS
20,50,500,onehot,mlp,948,0.329787,0.0048,0.0665,0.3151,0.3832,529.8,0.380851,SUCCESS
20,50,500,count,logistic,20,0.329787,0.0066,0.0011,0.1134,0.1167,529.8,0.141008,SUCCESS
20,50,500,count,lightgbm,20,0.329787,0.0066,0.036,0.839,0.8772,529.8,0.26296,SUCCESS
20,50,500,count,mlp,20,0.329787,0.0066,0.0277,0.1195,0.1493,529.8,0.147202,SUCCESS
20,50,500,hash_column,logistic,1000,0.329787,0.0038,0.0051,0.4152,0.4215,680.2,1.487186,SUCCESS
20,50,500,hash_column,lightgbm,1000,0.329787,0.0038,0.0357,1.4726,1.5096,680.2,0.238663,SUCCESS
20,50,500,hash_column,mlp,1000,0.329787,0.0038,0.0678,0.3957,0.4648,680.2,0.378267,SUCCESS
20,50,500,hash_shared,logistic,1000,0.329787,0.0037,0.0031,0.3692,0.3736,684.1,0.223092,SUCCESS
20,50,500,hash_shared,lightgbm,1000,0.329787,0.0037,0.0313,1.3137,1.3462,684.1,0.329915,SUCCESS
20,50,500,hash_shared,mlp,1000,0.329787,0.0037,0.0696,0.3887,0.4596,684.1,0.180337,SUCCESS
20,50,500,target,logistic,20,0.329787,0.0549,0.0012,0.122,0.1415,684.1,0.122287,SUCCESS
20,50,500,target,lightgbm,20,0.329787,0.0549,0.051,0.9642,1.0335,684.1,0.310505,SUCCESS
20,50,500,target,mlp,20,0.329787,0.0549,0.073,0.1406,0.2319,684.1,0.133097,SUCCESS
20,50,500,woe,logistic,20,0.329787,0.0957,0.0015,0.1381,0.1715,684.1,0.174981,SUCCESS
20,50,500,woe,lightgbm,20,0.329787,0.0957,0.0533,1.0471,1.1323,684.1,0.40199,SUCCESS
20,50,500,woe,mlp,20,0.329787,0.0957,0.0218,0.1474,0.2011,684.1,0.146279,SUCCESS
20,50,500,ordered_catboost_sim,logistic,20,0.329787,0.0635,0.0013,0.1508,0.1733,684.1,0.161734,SUCCESS
20,50,500,ordered_catboost_sim,lightgbm,20,0.329787,0.0635,0.085,0.9551,1.0613,684.1,0.321678,SUCCESS
20,50,500,ordered_catboost_sim,mlp,20,0.329787,0.0635,0.0191,0.1265,0.1668,684.1,0.152183,SUCCESS
20,50,500,homals,logistic,40,0.329787,0.4351,0.0021,0.2856,0.4327,684.1,0.30044,SUCCESS
20,50,500,homals,lightgbm,40,0.329787,0.4351,0.065,1.0906,1.3006,684.1,0.29364,SUCCESS
20,50,500,homals,mlp,40,0.329787,0.4351,0.0249,0.2705,0.4404,684.1,0.236534,SUCCESS
20,50,5000,label,logistic,20,0.329787,0.0269,0.0019,0.2066,0.2174,684.1,0.147533,SUCCESS
20,50,5000,label,lightgbm,20,0.329787,0.0269,0.1447,0.9184,1.0721,684.1,0.105083,SUCCESS
20,50,5000,label,mlp,20,0.329787,0.0269,0.247,0.2152,0.4712,684.1,0.165712,SUCCESS
20,50,5000,onehot,logistic,1020,0.329787,0.0295,0.0434,0.3481,0.4013,688.2,0.265807,SUCCESS
20,50,5000,onehot,lightgbm,1020,0.329787,0.0295,0.2958,2.587,2.8926,688.2,0.103119,SUCCESS
20,50,5000,onehot,mlp,1020,0.329787,0.0295,0.7131,0.3387,1.0616,693.1,1.313424,SUCCESS
20,50,5000,count,logistic,20,0.329787,0.0222,0.0023,0.1185,0.1283,693.2,0.11694,SUCCESS
20,50,5000,count,lightgbm,20,0.329787,0.0222,0.1293,0.9512,1.0879,693.4,0.107966,SUCCESS
20,50,5000,count,mlp,20,0.329787,0.0222,0.139,0.122,0.2683,693.4,0.123818,SUCCESS
20,50,5000,hash_column,logistic,1000,0.329787,0.0284,0.0477,0.3636,0.4208,693.4,0.172885,SUCCESS
20,50,5000,hash_column,lightgbm,1000,0.329787,0.0284,0.2546,2.0971,2.3611,693.4,0.110278,SUCCESS
20,50,5000,hash_column,mlp,1000,0.329787,0.0284,0.4314,0.4188,0.8596,693.8,0.200061,SUCCESS
20,50,5000,hash_shared,logistic,1000,0.329787,0.0315,0.0332,0.3846,0.4283,806.2,0.156635,SUCCESS
20,50,5000,hash_shared,lightgbm,1000,0.329787,0.0315,0.1302,1.3099,1.4506,806.2,0.188582,SUCCESS
20,50,5000,hash_shared,mlp,1000,0.329787,0.0315,0.4214,0.4215,0.8534,806.2,0.166872,SUCCESS
20,50,5000,target,logistic,20,0.329787,0.0878,0.0021,0.1315,0.1629,806.2,0.078925,SUCCESS
20,50,5000,target,lightgbm,20,0.329787,0.0878,0.2361,1.0587,1.3241,806.2,0.112977,SUCCESS
20,50,5000,target,mlp,20,0.329787,0.0878,0.1532,0.1341,0.3166,806.2,0.088024,SUCCESS
20,50,5000,woe,logistic,20,0.329787,0.1242,0.0025,0.1255,0.1694,806.2,0.082255,SUCCESS
20,50,5000,woe,lightgbm,20,0.329787,0.1242,0.2549,1.1012,1.3975,806.2,0.116073,SUCCESS
20,50,5000,woe,mlp,20,0.329787,0.1242,0.1849,0.1219,0.3482,806.2,0.093065,SUCCESS
20,50,5000,ordered_catboost_sim,logistic,20,0.329787,0.4564,0.0023,0.1219,0.2763,806.2,0.081851,SUCCESS
20,50,5000,ordered_catboost_sim,lightgbm,20,0.329787,0.4564,0.3048,0.9706,1.4276,806.2,0.117217,SUCCESS
20,50,5000,ordered_catboost_sim,mlp,20,0.329787,0.4564,0.1531,0.1267,0.432,806.2,0.089034,SUCCESS
20,50,5000,homals,logistic,40,0.329787,3.5358,0.0029,0.2774,1.4589,806.2,0.149747,SUCCESS
20,50,5000,homals,lightgbm,40,0.329787,3.5358,0.2343,1.2527,2.6656,806.2,0.105134,SUCCESS
20,50,5000,homals,mlp,40,0.329787,3.5358,0.1702,0.2753,1.6241,806.2,0.165349,SUCCESS
