M,K,n_train,encoder,learner,encoded_width,eta_table_s,encode_s,fit_s,eval_s,cell_s,peak_rss_mb,learner_shortfall_sanity,status
5,4,5000,woe,mlp,5,0.000305,0.0377,0.2928,0.0388,0.3441,233.5,0.028267,SUCCESS
5,4,5000,ordered_catboost_sim,logistic,5,0.000305,0.6183,0.0117,0.3383,0.5561,233.5,0.053438,SUCCESS
5,4,5000,ordered_catboost_sim,lightgbm,5,0.000305,0.6183,0.5877,2.5561,3.3499,233.5,0.037074,SUCCESS
5,4,5000,ordered_catboost_sim,mlp,5,0.000305,0.6183,0.1983,0.0416,0.446,233.5,0.033327,SUCCESS
5,4,5000,homals,logistic,10,0.000305,0.4319,0.0039,0.104,0.2519,233.5,0.103843,SUCCESS
5,4,5000,homals,lightgbm,10,0.000305,0.4319,0.0957,0.6028,0.8425,233.5,0.025033,SUCCESS
5,4,5000,homals,mlp,10,0.000305,0.4319,0.1795,0.074,0.3974,233.5,0.027321,SUCCESS
5,12,500,label,logistic,5,0.004479,0.0012,0.001,0.0541,0.0555,233.5,0.122642,SUCCESS
5,12,500,label,lightgbm,5,0.004479,0.0012,0.0223,0.8385,0.8613,233.5,0.196879,SUCCESS
5,12,500,label,mlp,5,0.004479,0.0012,0.0169,0.0604,0.0777,233.5,0.139518,SUCCESS
5,12,500,onehot,logistic,65,0.004479,0.001,0.0016,0.0493,0.0513,233.5,0.148567,SUCCESS
5,12,500,onehot,lightgbm,65,0.004479,0.001,0.0208,0.9227,0.9438,233.5,0.133849,SUCCESS
5,12,500,onehot,mlp,65,0.004479,0.001,0.0228,0.0538,0.0769,233.5,0.146953,SUCCESS
5,12,500,count,logistic,5,0.004479,0.002,0.0011,0.0289,0.0306,233.5,0.106489,SUCCESS
5,12,500,count,lightgbm,5,0.004479,0.002,0.0222,0.8212,0.844,233.5,0.190892,SUCCESS
5,12,500,count,mlp,5,0.004479,0.002,0.0159,0.0351,0.0517,233.5,0.163154,SUCCESS
5,12,500,hash_column,logistic,60,0.004479,0.0007,0.0016,0.0652,0.0671,233.5,0.112141,SUCCESS
5,12,500,hash_column,lightgbm,60,0.004479,0.0007,0.0221,0.9201,0.9424,233.5,0.14541,SUCCESS
5,12,500,hash_column,mlp,60,0.004479,0.0007,0.0186,0.0693,0.0881,233.5,0.158261,SUCCESS
5,12,500,hash_shared,logistic,60,0.004479,0.0006,0.0012,0.0639,0.0654,233.5,0.140468,SUCCESS
5,12,500,hash_shared,lightgbm,60,0.004479,0.0006,0.0213,0.8065,0.828,233.5,0.209685,SUCCESS
5,12,500,hash_shared,mlp,60,0.004479,0.0006,0.0192,0.0704,0.0898,233.5,0.143842,SUCCESS
5,12,500,target,logistic,5,0.004479,0.0154,0.0011,0.031,0.0372,233.5,0.079997,SUCCESS
5,12,500,target,lightgbm,5,0.004479,0.0154,0.0254,0.9271,0.9576,233.5,0.200966,SUCCESS
5,12,500,target,mlp,5,0.004479,0.0154,0.0343,0.0398,0.0792,233.5,0.094485,SUCCESS
5,12,500,woe,logistic,5,0.004479,0.0248,0.0012,0.0294,0.0389,233.5,0.090285,SUCCESS
5,12,500,woe,lightgbm,5,0.004479,0.0248,0.0263,0.9665,1.001,233.5,0.19057,SUCCESS
5,12,500,woe,mlp,5,0.004479,0.0248,0.0396,0.0345,0.0824,233.5,0.092774,SUCCESS
5,12,500,ordered_catboost_sim,logistic,5,0.004479,0.0145,0.001,0.0304,0.0362,233.5,0.094945,SUCCESS
5,12,500,ordered_catboost_sim,lightgbm,5,0.004479,0.0145,0.0362,1.0397,1.0808,233.5,0.307877,SUCCESS
5,12,500,ordered_catboost_sim,mlp,5,0.004479,0.0145,0.0161,0.0362,0.0571,233.5,0.162257,SUCCESS
5,12,500,homals,logistic,10,0.004479,0.0741,0.0012,0.0672,0.0931,233.5,0.14438,SUCCESS
5,12,500,homals,lightgbm,10,0.004479,0.0741,0.026,0.8926,0.9432,233.5,0.208165,SUCCESS
5,12,500,homals,mlp,10,0.004479,0.0741,0.0465,0.0749,0.1461,233.5,0.141884,SUCCESS
5,12,5000,label,logistic,5,0.004479,0.0067,0.0016,0.054,0.0578,233.5,0.119628,SUCCESS
5,12,5000,label,lightgbm,5,0.004479,0.0067,0.0719,0.7142,0.7883,233.5,0.055844,SUCCESS
5,12,5000,label,mlp,5,0.004479,0.0067,0.3965,0.06,0.4588,233.5,0.085348,SUCCESS
5,12,5000,onehot,logistic,65,0.004479,0.0055,0.0032,0.0464,0.0514,233.5,0.062253,SUCCESS
5,12,5000,onehot,lightgbm,65,0.004479,0.0055,0.0931,1.1288,1.2237,233.5,0.048062,SUCCESS
5,12,5000,onehot,mlp,65,0.004479,0.0055,0.1919,0.0539,0.2477,233.5,0.063659,SUCCESS
5,12,5000,count,logistic,5,0.004479,0.0051,0.0019,0.0374,0.041,233.5,0.101204,SUCCESS
5,12,5000,count,lightgbm,5,0.004479,0.0051,0.1085,0.6779,0.7881,233.5,0.055403,SUCCESS
5,12,5000,count,mlp,5,0.004479,0.0051,0.3368,0.0351,0.3736,233.5,0.077981,SUCCESS
5,12,5000,hash_column,logistic,60,0.004479,0.0054,0.0045,0.0658,0.0721,233.5,0.078606,SUCCESS
5,12,5000,hash_column,lightgbm,60,0.004479,0.0054,0.1008,1.0808,1.1834,233.5,0.073841,SUCCESS
5,12,5000,hash_column,mlp,60,0.004479,0.0054,0.194,0.0726,0.2683,233.5,0.080144,SUCCESS
5,12,5000,hash_shared,logistic,60,0.004479,0.0053,0.0029,0.065,0.0697,233.5,0.1286,SUCCESS
5,12,5000,hash_shared,lightgbm,60,0.004479,0.0053,0.1067,0.8787,0.9872,233.5,0.151174,SUCCESS
5,12,5000,hash_shared,mlp,60,0.004479,0.0053,0.1826,0.0704,0.2547,233.5,0.13225,SUCCESS
5,12,5000,target,logistic,5,0.004479,0.0245,0.0019,0.0314,0.0414,233.5,0.061159,SUCCESS
5,12,5000,target,lightgbm,5,0.004479,0.0245,0.0762,0.7584,0.8427,233.5,0.065408,SUCCESS
5,12,5000,target,mlp,5,0.004479,0.0245,0.1194,0.0375,0.165,233.5,0.063652,SUCCESS
5,12,5000,woe,logistic,5,0.004479,0.0326,0.0018,0.029,0.0417,233.5,0.061238,SUCCESS
5,12,5000,woe,lightgbm,5,0.004479,0.0326,0.0787,0.7418,0.8314,233.5,0.067199,SUCCESS
5,12,5000,woe,mlp,5,0.004479,0.0326,0.1233,0.0346,0.1688,233.5,0.06058,SUCCESS
5,12,5000,ordered_catboost_sim,logistic,5,0.004479,0.1097,0.0019,0.0314,0.0698,233.5,0.062209,SUCCESS
5,12,5000,ordered_catboost_sim,lightgbm,5,0.004479,0.1097,0.1031,0.7854,0.925,233.5,0.082786,SUCCESS
5,12,5000,ordered_catboost_sim,mlp,5,0.004479,0.1097,0.1196,0.0373,0.1935,233.5,0.064789,SUCCESS
5,12,5000,homals,logistic,10,0.004479,0.4346,0.0021,0.0685,0.2156,233.5,0.104891,SUCCESS
5,12,5000,homals,lightgbm,10,0.004479,0.4346,0.0827,0.7651,0.9927,233.5,0.053489,SUCCESS
5,12,5000,homals,mlp,10,0.004479,0.4346,0.3703,0.0748,0.5899,233.5,0.088468,SUCCESS
5,50,500,label,logistic,5,0.330679,0.0014,0.0011,0.0545,0.056,233.5,0.146584,SUCCESS
5,50,500,label,lightgbm,5,0.330679,0.0014,0.0242,0.9291,0.9538,233.5,0.238645,SUCCESS
5,50,500,label,mlp,5,0.330679,0.0014,0.0164,0.0613,0.0781,233.5,0.165817,SUCCESS
5,50,500,onehot,logistic,233,0.330679,0.001,0.0029,0.0732,0.0764,233.5,0.899018,SUCCESS
5,50,500,onehot,lightgbm,233,0.330679,0.001,0.019,0.8627,0.8821,233.5,0.137057,SUCCESS
5,50,500,onehot,mlp,233,0.330679,0.001,0.0372,0.0805,0.118,233.5,0.229083,SUCCESS
5,50,500,count,logistic,5,0.330679,0.0018,0.001,0.0295,0.0311,233.5,0.117846,SUCCESS
5,50,500,count,lightgbm,5,0.330679,0.0018,0.0232,0.7925,0.8163,233.5,0.206308,SUCCESS
5,50,500,count,mlp,5,0.330679,0.0018,0.0305,0.0374,0.0685,233.5,0.123227,SUCCESS
5,50,500,hash_column,logistic,250,0.330679,0.0011,0.0027,0.101,0.1041,245.3,0.526683,SUCCESS
5,50,500,hash_column,lightgbm,250,0.330679,0.0011,0.0219,0.9495,0.9717,245.5,0.142361,SUCCESS
5,50,500,hash_column,mlp,250,0.330679,0.0011,0.0412,0.1051,0.1467,245.5,0.202235,SUCCESS
5,50,500,hash_shared,logistic,250,0.330679,0.001,0.0019,0.0934,0.0956,245.5,0.232715,SUCCESS
5,50,500,hash_shared,lightgbm,250,0.330679,0.001,0.0219,0.9691,0.9913,245.5,0.246943,SUCCESS
